Date,Open,High,Low,Close,AdjClose,Volume
2025-10-01,101.1,101.23,100.16,101.2,101.2,1750290
2025-10-02,101.07,103.08,100.58,101.27,101.27,2149332
2025-10-03,100.12,101.63,100.11,100.46,100.46,2442710
2025-10-04,100.54,100.59,99.56,100.53,100.53,2206870
2025-10-05,100.85,102.25,100.33,100.4,100.4,1742168
2025-10-06,100.2,102.65,99.9,100.45,100.45,1770629
2025-10-07,100.44,101.71,98.59,100.95,100.95,2383203
2025-10-08,100.87,100.65,100.33,100.65,100.65,1727521
2025-10-09,100.83,101.6,100.04,100.35,100.35,1978484
2025-10-10,100.24,102.38,98.49,100.31,100.31,1980266
2025-10-11,100.91,101.31,97.61,100.8,100.8,2090910
2025-10-12,101.65,103.4,100.46,101.63,101.63,1819075
2025-10-13,101.74,101.5,98.83,100.05,100.05,1836950
2025-10-14,101.62,102.29,101.17,102.28,102.28,1735283
2025-10-15,101.93,102.83,100.87,101.88,101.88,1616098
2025-10-16,102.27,102.5,101.4,102.32,102.32,2143731
2025-10-17,101.34,103.32,101.39,101.75,101.75,2267429
2025-10-18,101.62,103.19,101.38,101.65,101.65,1664328
2025-10-19,102.85,103.37,101.63,102.62,102.62,1611859
2025-10-20,101.41,103.33,101.84,101.87,101.87,2270633
2025-10-21,100.15,100.99,99.0,100.48,100.48,2104259
2025-10-22,98.53,99.95,98.48,99.09,99.09,2208858
2025-10-23,99.51,99.96,98.08,99.08,99.08,1546196
2025-10-24,101.78,102.88,99.65,101.28,101.28,2419519
2025-10-25,102.36,102.12,100.5,102.18,102.18,1894753
2025-10-26,103.38,103.66,103.03,103.13,103.13,1677501
2025-10-27,103.67,104.05,102.29,103.06,103.06,2430574
2025-10-28,104.53,104.91,103.54,104.58,104.58,2330429
2025-10-29,104.76,104.78,102.97,104.43,104.43,2324206
2025-10-30,104.95,104.8,104.2,104.61,104.61,2031168
2025-10-31,104.47,105.74,102.72,104.41,104.41,2391912
2025-11-01,103.76,104.81,103.45,104.26,104.26,2359378
2025-11-02,104.01,104.48,103.3,104.25,104.25,2421688
2025-11-03,103.92,104.12,102.95,104.23,104.23,2314014
2025-11-04,104.5,104.99,103.41,105.03,105.03,2467300
2025-11-05,104.96,105.57,103.82,105.74,105.74,1888564
2025-11-06,105.75,105.69,105.26,105.51,105.51,2178281
2025-11-07,105.09,106.11,103.67,104.81,104.81,2114987
2025-11-08,106.68,106.97,103.85,106.02,106.02,2288474
2025-11-09,105.93,106.82,103.12,105.47,105.47,1869869
2025-11-10,105.94,108.45,104.64,105.52,105.52,2020478
2025-11-11,105.34,106.39,105.01,105.95,105.95,1674329
2025-11-12,104.98,106.72,104.6,105.01,105.01,2009618
2025-11-13,104.46,106.53,103.8,104.59,104.59,2161757
2025-11-14,104.07,105.16,103.48,103.79,103.79,1789070
2025-11-15,104.27,104.1,103.1,103.46,103.46,1910703
2025-11-16,103.18,104.39,101.73,103.45,103.45,1981690
2025-11-17,103.65,105.8,103.6,103.5,103.5,2283323
2025-11-18,104.32,106.23,102.79,104.22,104.22,1820247
2025-11-19,104.44,105.5,103.8,103.83,103.83,1661350
2025-11-20,104.23,104.24,102.12,103.65,103.65,2150126
2025-11-21,104.43,104.66,104.02,104.34,104.34,2469911
2025-11-22,104.28,105.02,103.6,103.94,103.94,1575916
2025-11-23,104.59,105.15,102.93,104.61,104.61,1929011
2025-11-24,105.05,105.2,103.09,105.14,105.14,2012150
2025-11-25,105.3,106.98,104.54,105.72,105.72,2000460
2025-11-26,106.98,108.02,105.67,107.01,107.01,2421815
2025-11-27,108.09,108.59,106.25,108.26,108.26,1813751
2025-11-28,108.12,107.88,107.2,107.54,107.54,2280975
2025-11-29,106.66,108.57,107.55,107.35,107.35,1851737
2025-11-30,107.73,109.65,107.14,107.24,107.24,1941978
2025-12-01,106.95,107.3,106.91,106.89,106.89,1877030
2025-12-02,108.01,108.61,106.91,108.33,108.33,1862973
2025-12-03,107.51,108.59,106.72,107.11,107.11,2297831
2025-12-04,106.56,108.11,105.73,106.86,106.86,2041755
2025-12-05,106.46,106.92,106.56,107.05,107.05,1502203
2025-12-06,107.56,108.36,107.42,107.65,107.65,1651461
2025-12-07,106.29,107.25,106.22,106.06,106.06,2294252
2025-12-08,106.32,106.76,106.2,106.34,106.34,2023756
2025-12-09,105.98,107.07,103.49,106.42,106.42,1935876
2025-12-10,105.88,106.62,105.33,106.28,106.28,1709450
2025-12-11,106.94,106.76,105.1,107.23,107.23,2067081
2025-12-12,106.92,106.78,105.8,107.05,107.05,1661209
2025-12-13,107.55,108.76,104.77,107.17,107.17,1832697
2025-12-14,107.42,108.63,106.89,107.89,107.89,2120828
2025-12-15,109.53,109.86,109.03,108.97,108.97,2273215
2025-12-16,108.56,109.61,108.37,108.45,108.45,2041071
2025-12-17,109.07,110.06,107.73,108.67,108.67,2255948
2025-12-18,108.36,109.52,106.88,108.35,108.35,2243681
2025-12-19,107.33,107.64,106.92,107.16,107.16,1722873
2025-12-20,108.58,110.53,108.27,109.32,109.32,1644619
2025-12-21,110.2,110.79,109.4,110.16,110.16,1653759
2025-12-22,109.08,109.98,108.17,108.79,108.79,2260398
2025-12-23,108.96,109.06,108.3,108.51,108.51,2233829
2025-12-24,109.35,111.47,107.78,108.75,108.75,1560398
2025-12-25,107.02,107.35,106.94,106.57,106.57,2019795
2025-12-26,107.02,108.01,106.74,107.14,107.14,2067588
2025-12-27,107.2,107.27,106.93,107.06,107.06,1515839
2025-12-28,107.31,108.61,106.98,108.1,108.1,2040506
2025-12-29,106.07,108.71,105.74,105.76,105.76,2249459
2025-12-30,106.83,107.75,106.45,106.49,106.49,2261802
2025-12-31,106.86,107.35,106.78,107.06,107.06,1620096
2026-01-01,106.54,107.47,106.37,106.62,106.62,1654612
2026-01-02,106.23,106.49,105.92,106.44,106.44,2120830
2026-01-03,106.72,108.14,106.23,106.7,106.7,2355546
2026-01-04,107.95,108.0,106.6,107.72,107.72,2298354
2026-01-05,107.47,107.43,105.95,107.2,107.2,2401360
2026-01-06,106.95,107.43,105.63,107.42,107.42,2383237
2026-01-07,108.27,108.11,107.6,107.71,107.71,1633913
2026-01-08,106.18,107.35,106.15,106.16,106.16,2136253
