Date,Open,High,Low,Close,Volume
2024-01-01,100.00,101.42,98.74,99.63,2530492
2024-01-02,99.63,100.52,97.88,101.74,2982401
2024-01-03,101.74,103.11,100.65,98.82,2128514
2024-01-04,98.82,99.47,96.54,97.91,3075488
2024-01-05,97.91,99.14,96.32,101.22,2355400
2024-01-06,101.22,103.04,101.03,103.89,2661195
2024-01-07,103.89,104.77,102.84,100.71,3217144
2024-01-08,100.71,101.66,99.52,98.34,2560061
2024-01-09,98.34,100.44,97.92,96.18,2897420
2024-01-10,96.18,97.47,94.72,99.65,3359108
2024-01-11,99.65,100.91,97.88,101.15,3402191
2024-01-12,101.15,102.87,100.54,104.32,2937015
2024-01-13,104.32,105.88,103.66,101.05,2319984
2024-01-14,101.05,102.77,100.41,99.12,2140740
2024-01-15,99.12,100.17,96.62,100.48,2597304
2024-01-16,100.48,101.54,98.94,103.62,3195144
2024-01-17,103.62,104.25,101.49,105.71,2761901
2024-01-18,105.71,106.22,103.29,102.37,1909022
2024-01-19,102.37,104.48,101.92,99.44,1666040
2024-01-20,99.44,101.05,97.11,96.25,2288940
2024-01-21,96.25,97.66,95.15,94.74,2990722
2024-01-22,94.74,96.25,92.17,95.31,3321188
2024-01-23,95.31,97.12,94.84,97.96,3081001
2024-01-24,97.96,99.55,96.61,101.44,2916622
2024-01-25,101.44,102.72,100.02,103.37,2455111
2024-01-26,103.37,104.16,102.48,100.52,2101988
2024-01-27,100.52,101.29,98.66,101.62,2331991
2024-01-28,101.62,103.55,101.38,105.16,3155440
2024-01-29,105.16,107.12,104.88,106.72,3262815
2024-01-30,106.72,107.44,105.55,103.88,2546014
2024-01-31,103.88,104.61,101.45,99.92,2722888
2024-02-01,99.92,100.33,97.04,95.74,2914091
2024-02-02,95.74,96.45,94.02,98.88,3184484
2024-02-03,98.88,99.71,97.61,100.02,2900777
2024-02-04,100.02,101.58,99.37,103.25,2951551
2024-02-05,103.25,104.74,102.29,106.61,3421007
2024-02-06,106.61,107.32,105.13,108.77,2662322
2024-02-07,108.77,109.26,106.84,104.49,1761855
2024-02-08,104.49,105.02,102.44,103.13,1549122
2024-02-09,103.13,104.87,101.66,100.05,2288411
2024-02-10,100.05,101.99,99.06,96.55,2459915
2024-02-11,96.55,97.46,95.13,98.74,2611003
2024-02-12,98.74,99.88,97.71,101.77,3079211
2024-02-13,101.77,103.15,101.27,105.85,3155228
2024-02-14,105.85,106.42,103.78,107.92,3017114
2024-02-15,107.92,109.55,107.49,110.82,3385441
2024-02-16,110.82,112.07,109.71,108.39,2928188
2024-02-17,108.39,109.46,107.11,104.14,2554400
2024-02-18,104.14,106.03,103.93,101.17,2145582
2024-02-19,101.17,102.54,98.66,99.58,2500048
2024-02-20,99.58,100.83,96.91,95.04,2945771
2024-02-21,95.04,96.16,93.56,97.22,3277444
2024-02-22,97.22,98.47,96.27,100.78,3105522
2024-02-23,100.78,101.84,99.96,104.61,3027401
2024-02-24,104.61,106.22,104.41,108.19,3451992
2024-02-25,108.19,109.44,107.21,111.77,3340908
2024-02-26,111.77,112.65,109.69,110.13,2749150
2024-02-27,110.13,111.01,108.26,105.55,2335115
2024-02-28,105.55,107.43,105.18,102.23,2099444
2024-02-29,102.23,103.68,100.82,99.35,2476301
2024-03-01,99.35,100.59,98.24,97.44,2601229
2024-03-02,97.44,98.55,95.61,99.31,2415091
2024-03-03,99.31,101.22,98.84,102.14,2549180
2024-03-04,102.14,103.66,101.21,105.37,3025944
2024-03-05,105.37,106.15,104.06,107.66,3427110
2024-03-06,107.66,108.21,106.94,109.52,3511003
2024-03-07,109.52,111.44,108.26,112.37,3322748
2024-03-08,112.37,113.14,111.36,109.78,3037711
2024-03-09,109.78,110.66,107.53,106.61,2598800
2024-03-10,106.61,108.14,105.88,103.75,2351602
2024-03-11,103.75,104.49,100.22,99.94,2483311
2024-03-12,99.94,101.11,98.33,96.57,2638777
2024-03-13,96.57,98.84,95.61,99.11,3011402
2024-03-14,99.11,100.76,97.41,102.94,3128855
2024-03-15,102.94,103.88,101.65,106.48,3412881
2024-03-16,106.48,108.77,106.11,109.62,3567228
2024-03-17,109.62,110.08,107.99,108.25,2718040
2024-03-18,108.25,109.51,106.51,104.91,2252844
2024-03-19,104.91,105.52,102.88,103.46,2149008
2024-03-20,103.46,104.18,100.24,99.04,2318011
2024-03-21,99.04,100.34,96.77,97.18,2681400
2024-03-22,97.18,98.42,95.94,96.11,2918744
2024-03-23,96.11,97.88,94.72,99.17,2515540
2024-03-24,99.17,100.81,97.56,102.02,2965444
2024-03-25,102.02,102.89,100.33,104.74,2735166
2024-03-26,104.74,106.33,104.11,108.16,3224801
2024-03-27,108.16,109.72,107.45,111.59,3319018
2024-03-28,111.59,113.00,111.22,114.14,3625082
2024-03-29,114.14,115.13,112.25,111.09,3154024
2024-03-30,111.09,111.99,108.54,108.82,2705144
2024-03-31,108.82,110.31,108.02,105.44,2468220
2024-04-01,105.44,107.55,104.81,102.09,2057115
2024-04-02,102.09,103.48,99.12,97.44,2475888
2024-04-03,97.44,98.36,94.85,96.13,2829440
2024-04-04,96.13,97.81,94.86,99.52,3011992
2024-04-05,99.52,101.49,99.21,102.91,3224101
2024-04-06,102.91,104.07,102.55,106.72,3284110
2024-04-07,106.72,108.21,105.91,109.25,3511844
2024-04-08,109.25,110.91,108.39,113.12,3679942
2024-04-09,113.12,114.75,112.68,115.03,3451202
2024-04-10,115.03,115.81,113.29,111.55,2861555
2024-04-11,111.55,112.66,110.90,107.78,2504884
2024-04-12,107.78,108.99,106.55,104.11,2199514
2024-04-13,104.11,105.94,103.42,100.91,2331051
2024-04-14,100.91,101.63,98.55,97.34,2440808
2024-04-15,97.34,98.09,95.62,94.72,2915441
2024-04-16,94.72,95.52,92.83,95.88,3001151
2024-04-17,95.88,97.11,94.09,98.31,3098444
2024-04-18,98.31,100.14,97.74,101.48,3117440
2024-04-19,101.48,103.25,101.33,105.32,3425199
2024-04-20,105.32,107.01,104.57,108.84,3473001
2024-04-21,108.84,110.05,108.12,111.15,3544477
2024-04-22,111.15,112.95,110.44,114.41,3690084
2024-04-23,114.41,116.28,112.75,115.14,3219048
2024-04-24,115.14,115.97,113.02,113.44,2846440
2024-04-25,113.44,114.06,110.16,109.67,2561182
2024-04-26,109.67,110.82,107.77,106.62,2105588
2024-04-27,106.62,107.45,104.92,101.15,2255044
2024-04-28,101.15,102.68,98.54,95.89,2668444
2024-04-29,95.89,97.10,94.37,96.33,2831008
2024-04-30,96.33,97.69,95.08,99.14,3092882
2024-05-01,99.14,100.22,98.66,101.92,3058811
2024-05-02,101.92,103.48,101.42,104.68,3357402
2024-05-03,104.68,105.41,103.57,107.66,3491184
2024-05-04,107.66,109.41,107.21,111.24,3547888
2024-05-05,111.24,113.10,110.74,115.33,3214880
2024-05-06,115.33,116.48,114.01,118.31,3091444
2024-05-07,118.31,119.52,117.76,121.55,3117332
2024-05-08,121.55,122.38,120.44,119.08,2589444
2024-05-09,119.08,120.81,118.09,115.66,2323880
2024-05-10,115.66,117.14,114.45,111.05,2254115
2024-05-11,111.05,112.87,110.98,108.44,2091001
2024-05-12,108.44,109.32,106.40,103.37,2149044
2024-05-13,103.37,105.55,102.68,99.66,2358404
2024-05-14,99.66,101.04,97.44,96.33,2601992
2024-05-15,96.33,97.47,94.55,93.47,2976222
2024-05-16,93.47,94.25,91.12,95.40,3018001
2024-05-17,95.40,96.16,94.21,97.52,3159440
2024-05-18,97.52,98.99,97.03,101.55,3097114
2024-05-19,101.55,103.08,101.02,105.44,3325884
2024-05-20,105.44,106.55,104.51,108.88,3459440
2024-05-21,108.88,110.41,108.11,112.21,3511002
2024-05-22,112.21,114.00,111.42,115.66,3631991
2024-05-23,115.66,117.21,114.81,119.31,3505540
2024-05-24,119.31,120.44,118.11,123.25,3557444
2024-05-25,123.25,124.88,122.48,120.44,3026115
2024-05-26,120.44,121.38,119.22,116.46,2809488
2024-05-27,116.46,117.42,115.48,112.11,2611044
2024-05-28,112.11,113.44,110.54,108.66,2560004
2024-05-29,108.66,109.82,107.33,104.44,2127744
2024-05-30,104.44,105.11,102.05,99.88,2556111
2024-05-31,99.88,100.46,97.15,95.97,2780644
